generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
105,200.00,196.53,200,199.03,0,0.00,1,0,0,199
106,200.00,182.69,200,195.19,0,0.00,5,0,0,195
107,200.00,179.16,200,194.16,0,0.00,6,0,0,194
108,200.00,193.05,200,198.05,0,0.00,2,0,0,198
109,200.00,179.18,200,194.18,0,0.00,6,0,0,194
110,200.00,172.28,200,192.28,0,0.00,8,0,0,192
111,200.00,179.18,200,194.18,0,0.00,6,0,0,194
112,200.00,182.68,200,195.18,0,0.00,5,0,0,195
113,200.00,182.62,200,195.12,0,0.00,5,0,0,195
114,200.00,186.12,200,196.12,0,0.00,4,0,0,196
115,200.00,186.10,200,196.10,0,0.00,4,0,0,196
116,200.00,172.22,200,192.22,0,0.00,8,0,0,192
117,200.00,175.70,200,193.20,0,0.00,7,0,0,193
118,200.00,161.84,200,189.34,0,0.00,11,0,0,189
119,200.00,182.70,200,195.20,0,0.00,5,0,0,195
120,200.00,172.28,200,192.28,0,0.00,8,0,0,192
121,200.00,172.27,200,192.27,0,0.00,8,0,0,192
122,200.00,161.79,200,189.29,0,0.00,11,0,0,189
123,200.00,179.20,200,194.20,0,0.00,6,0,0,194
124,200.00,165.27,200,190.27,0,0.00,10,0,0,190
125,200.00,165.32,200,190.32,0,0.00,10,0,0,190
126,200.00,161.78,200,189.28,0,0.00,11,0,0,189
127,200.00,144.43,200,184.43,0,0.00,16,0,0,184
128,200.00,172.20,200,192.20,0,0.00,8,0,0,192
129,200.00,158.34,200,188.34,0,0.00,12,0,0,188
130,200.00,158.34,200,188.34,0,0.00,12,0,0,188
131,200.00,154.84,200,187.34,0,0.00,13,0,0,187
132,200.00,168.78,200,191.28,0,0.00,9,0,0,191
133,200.00,172.20,200,192.20,0,0.00,8,0,0,192
134,200.00,165.27,200,190.27,0,0.00,10,0,0,190
135,200.00,182.65,200,195.15,0,0.00,5,0,0,195
136,200.00,165.32,200,190.32,0,0.00,10,0,0,190
137,200.00,179.16,200,194.16,0,0.00,6,0,0,194
138,200.00,175.71,200,193.21,0,0.00,7,0,0,193
139,200.00,193.07,200,198.07,0,0.00,2,0,0,198
140,200.00,175.70,200,193.20,0,0.00,7,0,0,193
141,200.00,175.72,200,193.22,0,0.00,7,0,0,193
142,200.00,161.80,200,189.30,0,0.00,11,0,0,189
143,200.00,165.25,200,190.25,0,0.00,10,0,0,190
144,200.00,186.12,200,196.12,0,0.00,4,0,0,196
145,200.00,161.81,200,189.31,0,0.00,11,0,0,189
146,200.00,175.70,200,193.20,0,0.00,7,0,0,193
147,200.00,172.20,200,192.20,0,0.00,8,0,0,192
148,200.00,182.63,200,195.13,0,0.00,5,0,0,195
149,200.00,168.80,200,191.30,0,0.00,9,0,0,191
150,200.00,189.57,200,197.07,0,0.00,3,0,0,197
151,200.00,189.58,200,197.08,0,0.00,3,0,0,197
152,200.00,193.05,200,198.05,0,0.00,2,0,0,198
153,200.00,193.05,200,198.05,0,0.00,2,0,0,198
154,200.00,200.00,200,200.00,0,0.00,0,0,0,200
155,200.00,196.55,200,199.05,0,0.00,1,0,0,199
156,200.00,186.10,200,196.10,0,0.00,4,0,0,196
157,200.00,189.60,200,197.10,0,0.00,3,0,0,197
158,200.00,186.10,200,196.10,0,0.00,4,0,0,196
159,200.00,175.70,200,193.20,0,0.00,7,0,0,193
160,200.00,196.53,200,199.03,0,0.00,1,0,0,199
161,200.00,189.62,200,197.12,0,0.00,3,0,0,197
162,200.00,179.16,200,194.16,0,0.00,6,0,0,194
163,200.00,175.69,200,193.19,0,0.00,7,0,0,193
164,200.00,189.59,200,197.09,0,0.00,3,0,0,197
165,200.00,189.62,200,197.12,0,0.00,3,0,0,197
166,200.00,175.74,200,193.24,0,0.00,7,0,0,193
