generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
538,76090.00,37508.87,150,95.05,15,7.39,12,25,81,82
539,80950.00,40328.01,150,97.09,16,7.96,12,25,92,71
540,90970.00,49978.93,150,104.54,18,9.88,5,40,74,81
541,80880.00,38248.52,150,81.47,16,7.58,5,89,91,15
542,76020.00,34699.10,150,79.82,15,6.86,14,108,69,9
543,81070.00,32963.96,150,84.83,16,6.50,18,54,88,40
544,71050.00,33094.88,150,89.70,14,6.53,17,69,94,20
545,86040.00,34142.84,150,87.00,17,6.73,17,20,99,64
546,91040.00,33865.69,150,73.45,18,6.70,18,72,104,6
547,86050.00,34646.17,150,87.18,17,6.84,15,35,98,52
548,91100.00,41050.29,150,89.39,18,8.11,5,58,84,53
549,81040.00,42516.34,150,103.14,16,8.38,12,39,81,68
550,86090.00,39056.60,150,90.82,17,7.71,10,41,93,56
551,76190.00,42170.66,150,102.97,15,8.29,3,15,91,91
552,76210.00,34329.70,150,93.50,15,6.75,17,50,86,47
553,76190.00,31608.85,150,87.50,15,6.22,9,97,76,18
554,76180.00,41854.55,150,104.17,15,8.24,15,27,66,92
555,76080.00,43700.62,150,106.68,15,8.61,11,29,72,88
556,76190.00,35233.77,150,91.25,15,6.93,32,13,81,74
557,86150.00,42730.06,150,95.61,17,8.43,9,36,80,75
558,81140.00,40188.74,150,93.78,16,7.92,9,59,89,43
559,86090.00,39375.64,150,87.70,17,7.78,8,87,95,10
560,81100.00,42633.79,150,96.98,16,8.41,2,86,74,38
561,81070.00,33512.47,150,81.39,16,6.62,5,93,86,16
562,105970.00,43223.95,150,85.84,21,8.56,10,51,95,44
563,76080.00,35114.50,150,90.81,15,6.92,5,29,106,60
564,86190.00,45654.25,150,102.73,17,9.00,9,44,76,71
565,81070.00,34346.25,150,85.55,16,6.78,17,72,80,31
566,76180.00,40915.45,150,100.78,15,8.06,19,47,71,63
567,71070.00,29900.88,150,75.94,14,5.90,15,103,67,15
568,66150.00,35417.81,150,102.94,13,6.96,17,34,85,64
569,81070.00,46582.96,150,106.69,16,9.18,12,22,77,89
570,86020.00,34144.42,150,78.73,17,6.75,12,81,71,36
571,81080.00,34638.93,150,81.34,16,6.85,6,103,79,12
572,81090.00,30458.11,150,70.63,16,6.03,8,83,99,10
573,86110.00,35341.52,150,84.36,17,6.98,26,49,83,42
574,96150.00,36575.66,150,79.31,19,7.23,16,82,70,32
575,81070.00,39240.96,150,92.78,16,7.75,21,38,94,47
576,76120.00,32748.06,150,91.53,15,6.44,11,7,103,79
577,76050.00,41668.38,150,100.55,15,8.21,9,9,90,92
578,80830.00,30930.39,145,79.28,16,6.11,17,82,100,1
579,86140.00,41414.90,150,94.50,17,8.18,13,52,85,50
580,81120.00,36827.96,150,94.31,16,7.25,5,47,105,43
581,86040.00,41880.95,150,96.75,17,8.26,12,29,90,69
582,96060.00,44673.10,150,80.39,19,8.86,1,107,68,24
583,86120.00,39538.60,150,91.88,17,7.80,17,33,86,64
584,81100.00,37149.75,150,91.02,16,7.32,10,59,74,57
585,90930.00,37955.78,146,89.70,18,7.49,12,35,105,48
586,81140.00,39327.66,150,92.14,16,7.75,16,46,86,52
587,76090.00,33815.67,150,79.75,15,6.68,9,79,76,36
588,71120.00,29798.81,150,85.76,14,5.86,23,20,102,55
589,86080.00,43560.28,150,91.84,17,8.61,18,51,77,54
590,86160.00,43053.57,150,97.14,17,8.49,24,60,79,37
591,81110.00,42633.24,150,99.51,16,8.40,18,38,72,72
592,86090.00,47800.45,150,108.72,17,9.41,10,14,67,109
593,91070.00,33424.91,150,65.58,18,6.62,9,120,59,12
594,81170.00,39902.23,150,97.56,16,7.87,20,50,91,39
595,81180.00,46787.71,150,104.92,16,9.22,12,38,64,86
596,86000.00,45417.65,150,102.25,17,8.96,19,17,72,92
597,76060.00,39129.05,150,92.00,15,7.72,19,56,78,47
598,86200.00,40891.17,150,91.46,17,8.07,24,55,69,52
599,86030.00,42985.08,150,93.57,17,8.49,12,73,72,43
600,86110.00,54670.87,150,113.90,17,10.79,15,44,55,86
601,91120.00,56927.47,150,106.99,18,11.25,11,62,56,71
602,86200.00,45552.98,150,103.97,17,8.97,17,41,52,90
603,101080.00,54316.27,150,104.57,20,10.73,7,40,81,72
604,96090.00,53931.67,150,109.67,19,10.65,14,28,56,102
605,71040.00,43774.89,150,101.21,14,8.63,13,68,58,61
