generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
633,121430.00,19271.29,200,71.43,15,2.37,43,7,134,16
634,129300.00,12328.64,200,60.24,16,1.51,28,4,155,13
635,113280.00,15293.33,200,65.22,14,1.88,33,7,144,16
636,129210.00,12947.15,200,60.19,16,1.59,43,4,138,15
637,121010.00,18599.65,179,69.11,15,2.29,31,6,158,5
638,113250.00,14252.24,200,60.08,14,1.75,45,0,138,17
639,105330.00,13277.76,200,65.45,13,1.62,32,4,146,18
640,129400.00,16847.49,200,66.70,16,2.06,34,3,142,21
641,137310.00,15488.33,200,64.73,17,1.90,29,7,152,12
642,97290.00,13788.85,200,69.58,12,1.69,25,6,157,12
643,105330.00,16452.14,200,72.22,13,2.02,38,10,139,13
644,121390.00,17792.96,200,68.29,15,2.19,36,7,141,16
645,121350.00,13909.77,200,60.25,15,1.71,48,12,131,9
646,113450.00,17976.75,200,72.11,14,2.21,41,9,131,19
647,129340.00,14055.49,200,63.87,16,1.73,45,8,135,12
648,137400.00,14028.84,200,59.30,17,1.73,38,10,141,11
649,113410.00,11772.18,200,60.86,14,1.44,37,4,143,16
650,113270.00,18591.20,200,69.78,14,2.29,39,6,137,18
651,153480.00,21615.86,200,66.36,19,2.67,63,10,107,20
652,145080.00,21427.40,173,67.19,18,2.64,40,9,141,10
653,113480.00,31673.08,200,95.03,14,3.89,43,1,121,35
654,145450.00,33512.56,200,82.03,18,4.13,48,13,123,16
655,113340.00,16932.43,200,67.22,14,2.08,36,14,130,20
656,153550.00,18417.03,200,64.45,19,2.27,29,7,152,12
657,121310.00,11027.20,200,56.23,15,1.35,41,8,141,10
658,105320.00,15310.28,200,64.23,13,1.88,51,16,125,8
659,113230.00,21509.81,200,69.94,14,2.65,56,10,124,10
660,129440.00,25800.19,200,71.94,16,3.18,49,19,116,16
661,105220.00,15020.32,200,69.38,13,1.84,27,3,150,20
662,129340.00,19639.88,200,68.19,16,2.42,33,5,146,16
